BACKLOG DO PRODUTO,EM ANDAMENTO,FEITO,REVISÃO,CONCLUIDO,EXCLUÍDO
Cadastro único de Roupas,TH PARA ROTA HREF,rever pagina novasroupas,,Selecionar categoria do eCommerce,
Inativar Roupas,<TELA> Detalhe de produtos,Cadastrar cliente,,,
Alterar cadastro de roupas,Arquitetar ambiente Admin,Criação service cliente,,,
Consulta de roupas,<TELA> Endereço de envio,Criação controller salvarCliente,,,
Ativar cadastro de roupas,Envio de roupas <tela>,Criação repository cliente,,,
,Configuração De Tailwind Css,,,,
,Criar homepage protótipo,,,,
,Criar detalhe produto protótipo,,,,
,Criar cadastro protótipo,,,,
,Criar compra completa protótipo,,,,
,Criar carrinho compra protótipo,,,,
,Criar pagamento protótipo,,,,
,Criar endereço envio protótipo,,,,
,Criar comprar protótipo,,,,
,Criar produtos protótipo,,,,
,Criar Tela De Cadastro,,,,
,Criação da Home,,,,
,Determinação de entidades,,,,
,Estruturar classes,,,,
,Arquitetar relacionamentos,,,,
,Criação entidades,,,,
,Criação de Kanban,,,,
,Escolha de banco de dados,,,,
,Configuração do ambiente back,,,,
,Configuração do ambiente front,,,,
,Arrumar TH para melhoramento do desenvolvimento de componentes,,,,
